Id,Name,FreeeInvoiceId__c,FreeePartnerId__c,PartnerName__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ValidationMessage__c,ProvisioningMessage__c
a0FRB00000UtK9j2AF,MFIW-000032,54067660,106902646,株式会社ケン・プロパティマネジメント,2026-03-20,12100,反映済み,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4SYAS,,
a0FRB00000UtK9k2AF,MFIW-000033,54067663,104848225,株式会社三越伊勢丹プロパティデザイン,2026-03-20,44000,反映済み,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4TYAS,,
a0FRB00000UtK9l2AF,MFIW-000034,54067665,103334594,株式会社石勝エクステリア,2026-03-20,154000,反映済み,001RB00001VTqnMYAT,a04RB00000kVL7aYAG,a0BRB00000ypw6E2AQ,a00RB000024Ux4UYAS,,
a0FRB00000UtK9m2AF,MFIW-000035,54067668,108589480,株式会社アールシーコア,2026-03-20,275000,反映済み,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw602AA,a00RB000024Ux4VYAS,,
a0FRB00000UtK9n2AF,MFIW-000036,54067671,106856055,豊通ファシリティーズ株式会社,2026-03-20,8800,反映済み,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux4WYAS,,
a0FRB00000UtK9o2AF,MFIW-000037,54067674,104968120,株式会社三福管理センター,2026-03-20,60500,反映済み,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux4XYAS,,
a0FRB00000UtK9p2AF,MFIW-000038,54067677,108865293,株式会社錢高組,2026-03-20,26400,反映済み,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux4YYAS,,
a0FRB00000UtK9q2AF,MFIW-000039,54067679,96825556,フロンヴィルホームズ名古屋株式会社,2026-03-20,8800,反映済み,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux4ZYAS,,
a0FRB00000UtK9r2AF,MFIW-000040,54067681,111118722,株式会社夢のおてつだい,2026-03-20,60500,反映済み,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux4aYAC,,
a0FRB00000UtK9s2AF,MFIW-000041,54067683,107809127,株式会社建新,2026-03-20,12100,反映済み,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux4bYAC,,
a0FRB00000UtK9t2AF,MFIW-000042,54067686,109623043,Phantom株式会社,2026-03-20,17600,反映済み,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux4cYAC,,
a0FRB00000UtK9u2AF,MFIW-000043,54108710,90390901,リアルティホールディングス株式会社,2026-03-20,175450,反映済み,001RB00001VTtIUYA1,a04RB00000kUAPdYAO,a0BRB00000ynn5V2AQ,a00RB000024Ux4dYAC,,
a0FRB00000UtK9v2AF,MFIW-000044,54113194,86734843,戸田建設株式会社,2026-03-20,500500,反映可能,001RB00001VTrmnYAD,a04RB00000kUAO0YAO,a0BRB00000ynb5v2AA,a00RB000024Ux4eYAC,,既存の契約管理を使用します。
a0FRB00000UtK9w2AF,MFIW-000045,54153823,100330046,株式会社TAKUTO,2026-03-20,12100,反映済み,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux4fYAC,,
a0FRB00000UtK9x2AF,MFIW-000046,54153824,99395127,TC神鋼不動産株式会社,2026-03-20,12100,反映済み,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux4gYAC,,
a0FRB00000UtK9y2AF,MFIW-000047,54153825,98221039,松栄不動産株式会社(アパマンショップ仙台東口店),2026-03-20,12100,反映済み,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6K2AQ,a00RB000024Ux4hYAC,,
a0FRB00000UtK9z2AF,MFIW-000048,54153827,98775570,ONETEAM不動産,2026-03-20,12100,反映済み,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux4iYAC,,
a0FRB00000UtKA02AN,MFIW-000049,54153829,97203601,株式会社ハートランド,2026-03-20,12100,反映済み,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6C2AQ,a00RB000024Ux4jYAC,,
a0FRB00000UtKCv2AN,MFIW-000051,54597510,114114116,三井住友建設株式会社,2026-03-24,8800,反映済み,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux4kYAC,,
a0FRB00000UtKCw2AN,MFIW-000052,54616884,107256362,株式会社中村不動産開発,2026-03-24,48400,反映済み,001RB00001VTrGlYAL,a04RB00000kVL7bYAG,a0BRB00000ypw6F2AQ,a00RB000024Ux4lYAC,,
a0FRB00000UtKCx2AN,MFIW-000053,54630843,111309576,株式会社ＬＩＸＩＬ,2026-03-24,275000,反映済み,001RB00001VTqidYAD,a04RB00000kVL7RYAW,a0BRB00000ypw5z2AA,a00RB000024Ux4mYAC,,
a0FRB00000UtKG92AN,MFIW-000055,53459621,112561098,株式会社アイ・キューブ,2026-03-27,82500,反映済み,001RB00001VTrlAYAT,a04RB00000kVL7TYAW,a0BRB00000ypw642AA,a00RB000024Ux4nYAC,,
a0FRB00000UtKGA2A3,MFIW-000056,54891605,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-03-27,176000,反映済み,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Ux4oYAC,,既存の契約管理を使用します。
a0FRB00000UtKJN2A3,MFIW-000057,55195079,84446808,神奈川県知事　黒岩　祐治,2026-03-31,2057000,反映済み,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000027lnMpYAI,,既存の契約管理を使用します。
a0FRB00000UtKJO2A3,MFIW-000058,55195797,84446808,神奈川県知事　黒岩　祐治,2026-03-31,1870000,反映済み,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,a00RB000024Ux4qYAC,,既存の契約管理を使用します。
a0FRB00000UtKJP2A3,MFIW-000059,55196219,84446808,神奈川県知事　黒岩　祐治,2026-03-31,1870000,対象外,001RB00001VcyFOYAZ,a04RB00000kVL7gYAG,a0BRB00000ypw6M2AQ,,同一取引先・同一請求日・同額の反映済み請求が存在するため、重複候補として対象外にしました。,既存の契約管理を使用します。
a0FRB00000UtKOD2A3,MFIW-000060,56351917,103564412,三井不動産レジデンシャルリース株式会社(ソリューション推進部),2026-04-14,145200,反映済み,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4sYAC,,
a0FRB00000UtKRR2A3,MFIW-000061,56461100,82660475,東急不動産株式会社,2026-04-20,229900,反映済み,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6P2AQ,a00RB000024Ux4tYAC,,
a0FRB00000UtKRS2A3,MFIW-000062,56461105,103564412,三井不動産レジデンシャルリース株式会社(ソリューション推進部),2026-04-20,145200,反映済み,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux4uYAC,,
a0FRB00000UtKRT2A3,MFIW-000063,56461107,106902646,株式会社ケン・プロパティマネジメント,2026-04-20,12100,反映済み,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux4vYAC,,
a0FRB00000UtKRU2A3,MFIW-000064,56461109,104848225,株式会社三越伊勢丹プロパティデザイン,2026-04-20,44000,反映済み,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux4wYAC,,
a0FRB00000UtKRV2A3,MFIW-000065,56461111,108589480,株式会社アールシーコア,2026-04-20,275000,反映済み,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw612AA,a00RB000024Ux4xYAC,,
a0FRB00000UtKRW2A3,MFIW-000066,56461113,106856055,豊通ファシリティーズ株式会社,2026-04-20,8800,反映済み,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux4yYAC,,
a0FRB00000UtKRX2A3,MFIW-000067,56461115,104968120,株式会社三福管理センター,2026-04-20,60500,反映済み,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux4zYAC,,
a0FRB00000UtKRY2A3,MFIW-000068,56461117,108865293,株式会社錢高組,2026-04-20,26400,反映済み,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux50YAC,,
a0FRB00000UtKRZ2A3,MFIW-000069,56461119,96825556,フロンヴィルホームズ名古屋株式会社,2026-04-20,8800,反映済み,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux51YAC,,
a0FRB00000UtKRa2AN,MFIW-000070,56461121,111118722,株式会社夢のおてつだい,2026-04-20,60500,反映済み,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux52YAC,,
a0FRB00000UtKRb2AN,MFIW-000071,56461123,107809127,株式会社建新,2026-04-20,12100,反映済み,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux53YAC,,
a0FRB00000UtKRc2AN,MFIW-000072,56461125,109623043,Phantom株式会社,2026-04-20,17600,反映済み,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux54YAC,,
a0FRB00000UtKRd2AN,MFIW-000073,56461126,108259265,柏井建設株式会社,2026-04-20,82500,反映済み,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux55YAC,,
a0FRB00000UtKRe2AN,MFIW-000074,56527514,100330046,株式会社TAKUTO,2026-04-20,12100,反映済み,001RB00001VTtIfYAL,a04RB00000kUAQ0YAO,a0BRB00000ynn5s2AA,a00RB000024Ux56YAC,,
a0FRB00000UtKRf2AN,MFIW-000075,56527519,99395127,TC神鋼不動産株式会社,2026-04-20,12100,反映済み,001RB00001VTqfsYAD,a04RB00000kUAPzYAO,,a00RB000024Ux57YAC,,
a0FRB00000UtKRg2AN,MFIW-000076,56527522,98221039,松栄不動産株式会社(アパマンショップ仙台東口店),2026-04-20,12100,反映済み,001RB00001VTtIeYAL,a04RB00000kVL7fYAG,a0BRB00000ypw6L2AQ,a00RB000024Ux58YAC,,
a0FRB00000UtKRh2AN,MFIW-000077,56527524,98775570,ONETEAM不動産,2026-04-20,12100,反映済み,001RB00001VTtIdYAL,a04RB00000kUAPxYAO,a0BRB00000ynn5p2AA,a00RB000024Ux59YAC,,
a0FRB00000UtKRi2AN,MFIW-000078,56527525,97203601,株式会社ハートランド,2026-04-20,12100,反映済み,001RB00001VTtIcYAL,a04RB00000kVL7ZYAW,a0BRB00000ypw6D2AQ,a00RB000024Ux5AYAS,,
a0FRB00000UtKRj2AN,MFIW-000079,56527526,96603066,西和不動産株式会社 栗東店,2026-04-20,12100,反映済み,001RB00001VTtIZYA1,a04RB00000kVL7QYAW,a0BRB00000ypw5y2AA,a00RB000024Ux5BYAS,,
a0FRB00000UtKRk2AN,MFIW-000080,56527527,92814432,株式会社香川不動産買取センター,2026-04-20,12100,反映済み,001RB00001VTqaKYAT,a04RB00000kUAPnYAO,a0BRB00000ynn5f2AA,a00RB000024Ux5CYAS,,
a0FRB00000UtKT32AN,MFIW-000081,56826003,104523268,野村不動産株式会社,2026-04-22,660000,反映済み,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5DYAS,,
a0FRB00000UtKT42AN,MFIW-000082,56841170,105448655,株式会社コスモスイニシア（流通事業部）,2026-04-22,950400,反映済み,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5EYAS,,
a0FRB00000UtKT52AN,MFIW-000083,56841400,105043583,株式会社コスモスイニシア　建築本部,2026-04-22,2217600,反映済み,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5FYAS,,
a0FRB00000UtKT62AN,MFIW-000084,56857997,104523268,野村不動産株式会社,2026-04-22,308000,反映済み,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5GYAS,,
a0FRB00000UtKUf2AN,MFIW-000085,56898984,115733588,株式会社安井建築設計事務所,2026-04-23,8800,反映済み,001RB00001VTqU8YAL,a04RB00000kUAPEYA4,a0BRB00000ynn552AA,a00RB000024Ux5HYAS,,
a0FRB00000UtKXt2AN,MFIW-000086,57073276,114114116,三井住友建設株式会社,2026-04-30,8800,反映済み,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5IYAS,,
a0FRB00000UtKjB2AV,MFIW-000087,58268807,113337501,トヨタ・コニック・プロ株式会社,2026-05-12,0,反映済み,001RB00001VTrkUYAT,a04RB00000kVL7OYAW,a0BRB00000ypw5v2AA,a00RB000024Ux5JYAS,,既存の契約管理を使用します。
a0FRB00000UtKmP2AV,MFIW-000088,58388932,94597892,株式会社デザインアーク,2026-05-13,181500,反映済み,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB00000ynb652AA,a00RB000024Ux5KYAS,,
a0FRB00000UtKrF2AV,MFIW-000091,58689117,73914642,サンフロンティア不動産株式会社,2026-05-19,70400,反映済み,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux5LYAS,,
a0FRB00000UtKrG2AV,MFIW-000092,58689637,82902677,株式会社フロンティアコンサルティング,2026-05-19,532400,反映済み,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,a00RB000024Ux5MYAS,,
a0FRB00000UtKrH2AV,MFIW-000093,58692141,92993984,アイリスチトセ株式会社,2026-05-19,84700,反映済み,001RB00001VTqlZYAT,a04RB00000kVL7JYAW,a0BRB00000ypw5q2AA,a00RB000024Ux5NYAS,,
a0FRB00000UtKsr2AF,MFIW-000094,58549424,82660475,東急不動産株式会社,2026-05-20,229900,反映済み,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6Q2AQ,a00RB000024Ux5OYAS,,
a0FRB00000UtKss2AF,MFIW-000095,58549433,103564412,三井不動産レジデンシャルリース株式会社(ソリューション推進部),2026-05-20,145200,反映済み,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux5PYAS,,
a0FRB00000UtKst2AF,MFIW-000096,58549436,106902646,株式会社ケン・プロパティマネジメント,2026-05-20,12100,反映済み,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux5QYAS,,
a0FRB00000UtKsu2AF,MFIW-000097,58549439,104848225,株式会社三越伊勢丹プロパティ・デザイン,2026-05-20,44000,反映済み,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux5RYAS,,
a0FRB00000UtKsv2AF,MFIW-000098,58549442,108589480,株式会社アールシーコア,2026-05-20,275000,反映済み,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw622AA,a00RB000024Ux5SYAS,,
a0FRB00000UtKsw2AF,MFIW-000099,58549444,106856055,豊通ファシリティーズ株式会社,2026-05-20,8800,反映済み,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux5TYAS,,
a0FRB00000UtKsx2AF,MFIW-000100,58549447,104968120,株式会社三福管理センター,2026-05-20,60500,反映済み,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux5UYAS,,
a0FRB00000UtKsy2AF,MFIW-000101,58549450,108865293,株式会社錢高組,2026-05-20,26400,反映済み,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux5VYAS,,
a0FRB00000UtKsz2AF,MFIW-000102,58549452,96825556,フロンヴィルホームズ名古屋株式会社,2026-05-20,8800,反映済み,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux5WYAS,,
a0FRB00000UtKt02AF,MFIW-000103,58549455,111118722,株式会社夢のおてつだい,2026-05-20,60500,反映済み,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux5XYAS,,
a0FRB00000UtKt12AF,MFIW-000104,58549457,107809127,株式会社建新,2026-05-20,12100,反映済み,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux5YYAS,,
a0FRB00000UtKt22AF,MFIW-000105,58549460,109623043,Phantom株式会社,2026-05-20,17600,反映済み,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux5ZYAS,,
a0FRB00000UtKt32AF,MFIW-000106,58549463,108259265,柏井建設株式会社,2026-05-20,82500,反映済み,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux5aYAC,,
a0FRB00000UtKt42AF,MFIW-000107,58549465,113482629,花菱不動産株式会社,2026-05-20,17600,反映済み,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,a00RB000024Ux5bYAC,,
a0FRB00000UtKt52AF,MFIW-000108,58549467,112253849,コンチネンタルホーム株式会社,2026-05-20,26400,反映済み,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,a00RB000024Ux5cYAC,,
a0FRB00000UtKt62AF,MFIW-000109,58549470,114114116,三井住友建設株式会社,2026-05-20,8800,反映済み,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5dYAC,,
a0FRB00000UtKt72AF,MFIW-000110,58549473,114370740,株式会社スタイルテック総合計画,2026-05-20,82500,反映済み,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,a00RB000024Ux5eYAC,,
a0FRB00000UtKt82AF,MFIW-000111,58549475,114689416,株式会社ecoaハウス,2026-05-20,82500,反映済み,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,a00RB000024Ux5fYAC,,
a0FRB00000UtKt92AF,MFIW-000112,58549477,113246574,Asplead株式会社,2026-05-20,17600,反映済み,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,a00RB000024Ux5gYAC,,
a0FRB00000UtKtA2AV,MFIW-000113,58549480,115329224,株式会社フィールド・デザイン・アーキテクツ一級建築士事務所,2026-05-20,8800,反映済み,001RB00001VTrqeYAD,a04RB00000kUAPAYA4,a0BRB00000ynb752AA,a00RB000024Ux5hYAC,,
a0FRB00000UtKw52AF,MFIW-000115,58937326,114219627,株式会社コスモスイニシア,2026-05-22,825000,反映済み,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw682AA,a00RB000024Ux5iYAC,,
a0FRB00000UtKw62AF,MFIW-000116,58940950,77887489,クウジット株式会社,2026-05-22,165000,反映済み,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ypw5r2AA,a00RB000024Ux5jYAC,,既存の契約管理を使用します。
a0FRB00000UtKw72AF,MFIW-000117,58947453,109496401,ジーク株式会社,2026-05-22,924000,反映済み,001RB00001VTqsxYAD,a04RB00000kUAOnYAO,a0BRB00000ynb6i2AA,a00RB000024Ux5kYAC,,
a0FRB00000UtKxh2AF,MFIW-000118,59062064,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-05-25,154000,反映済み,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf1xYAC,,
a0FRB00000UtL0v2AF,MFIW-000119,59295041,113391577,近鉄不動産株式会社,2026-05-27,324500,反映済み,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6G2AQ,a00RB000024Vf1yYAC,,
a0FRB00000UtLdd2AF,MFIW-000120,60012375,117928193,株式会社エリオクリエイト,2026-05-31,105600,反映済み,001RB00001VTrxYYAT,a04RB00000kVL7UYAW,a0BRB00000ypw652AA,a00RB000024Vf1zYAC,,
a0FRB00000UtLde2AF,MFIW-000121,60414862,105601243,プラス株式会社,2026-05-31,6600000,反映済み,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5w2AA,a00RB000024Vf20YAC,,
a0FRB00000UtLlh2AF,MFIW-000123,60518749,102184607,株式会社ＬＩＸＩＬ住宅研究所,2026-06-10,693000,反映済み,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf21YAC,,既存の契約管理を使用します。
a0FRB00000UtM532AF,MFIW-000124,60970507,94597892,株式会社デザインアーク,2026-06-18,217800,反映済み,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB000012R4gz2AC,a00RB00002BahLdYAJ,,既存の契約管理を使用します。
a0FRB00000UtM9u2AF,MFIW-000126,59151137,96810444,帝国不動産株式会社,2026-06-19,52800,反映済み,001RB00001VcyFPYAZ,a04RB00000kVL7hYAG,a0BRB00000ypw6N2AQ,a00RB000024Vf24YAC,,既存の契約管理を使用します。
a0FRB00000UtM9v2AF,MFIW-000127,60979452,119147687,不動産A株式会社,2026-06-19,26400,反映済み,001RB00001UvdpFYAR,,,a00RB000023liu7YAA,,既存の契約管理を使用します。
a0FRB00000UtM9w2AF,MFIW-000128,60984868,119152943,コクヨ株式会社 ワークプレイス事業本部 スペースソリューション本部,2026-06-19,544500,反映済み,001RB00001VTCZ9YAP,a04RB00000kVL7LYAW,a0BRB00000ypw5s2AA,a00RB000024Vf25YAC,,既存の契約管理を使用します。
a0FRB00000UtMBV2A3,MFIW-000129,60792877,82660475,東急不動産株式会社,2026-06-20,229900,反映済み,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6R2AQ,a00RB000024Vf26YAC,,既存の契約管理を使用します。
a0FRB00000UtMBW2A3,MFIW-000130,60792884,103564412,三井不動産レジデンシャルリース株式会社(ソリューション推進部),2026-06-20,145200,反映済み,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Vf27YAC,,既存の契約管理を使用します。
